latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
39.71490960277778,-105.11522511666666,1693.7342,0.60667,163,2019,0.999335,-39.361
39.71490958055556,-105.11522508055553,1693.7356,0.60639,163,2019,0.999335,-39.230
39.71490956111112,-105.11522511111109,1693.7339,0.60611,163,2019,0.999335,-38.743
39.71490959444445,-105.11522504999999,1693.731,0.60583,163,2019,0.999335,-37.973
39.71490959444445,-105.11522508888886,1693.7429,0.60556,163,2019,0.999335,-38.330
39.7149096138889,-105.11522520833333,1693.7454,0.60528,163,2019,0.999335,-38.490
39.71490955277779,-105.11522518055556,1693.7482,0.60500,163,2019,0.999335,-38.205
39.714909480555555,-105.11522521388888,1693.7505,0.60472,163,2019,0.999335,-38.614
39.71490951944446,-105.11522523611109,1693.7488,0.60444,163,2019,0.999335,-38.945
39.71490951944446,-105.11522521666664,1693.7414,0.60417,163,2019,0.999335,-39.049
39.71490955000001,-105.11522516944443,1693.7504,0.60389,163,2019,0.999335,-37.655
39.714909544444446,-105.11522517777777,1693.7446,0.60361,163,2019,0.999335,-38.729
39.71490953333333,-105.11522514999999,1693.743,0.60333,163,2019,0.999335,-38.404
39.714909547222234,-105.11522511111109,1693.7379,0.60306,163,2019,0.999335,-38.380
39.71490952500001,-105.11522511666666,1693.7403,0.60278,163,2019,0.999335,-38.024
39.71490954166667,-105.115225075,1693.7375,0.60250,163,2019,0.999335,-37.993
39.71490951111112,-105.11522509166664,1693.7252,0.60222,163,2019,0.999335,-38.545
39.71490956666667,-105.11522508888886,1693.7322,0.60194,163,2019,0.999335,-39.717
39.71490951111112,-105.11522501388887,1693.7333,0.60167,163,2019,0.999335,-39.469
39.71490955555556,-105.11522509444443,1693.7265,0.60139,163,2019,0.999335,-39.194
39.71490956666667,-105.11522512777778,1693.7259,0.60111,163,2019,0.999335,-39.831
39.71490955833334,-105.11522513333331,1693.7305,0.60083,163,2019,0.999335,-40.381
39.71490952500001,-105.11522514166666,1693.7352,0.60056,163,2019,0.999335,-39.978
39.714909527777785,-105.11522508055553,1693.7352,0.60028,163,2019,0.999335,-39.994
39.714909544444446,-105.11522510833333,1693.7284,0.60000,163,2019,0.999335,-40.148
39.714909597222224,-105.11522511944443,1693.7283,0.59972,163,2019,0.999335,-39.769
39.71490956666667,-105.11522511111109,1693.725,0.59944,163,2019,0.999335,-39.514
39.714909583333345,-105.11522507222222,1693.7227,0.59917,163,2019,0.999335,-39.482
39.714909619444455,-105.11522508333331,1693.7152,0.59889,163,2019,0.999335,-39.659
39.714909666666664,-105.11522507777778,1693.7086,0.59861,163,2019,0.999335,-39.934
39.71490963888889,-105.11522509722221,1693.7075,0.59833,163,2019,0.999335,-39.771
39.71490965000001,-105.11522505277777,1693.7133,0.59806,163,2019,0.999335,-39.571
39.714909655555566,-105.11522509722221,1693.7151,0.59778,163,2019,0.999335,-39.434
39.71490967777779,-105.11522511111109,1693.7122,0.59750,163,2019,0.999335,-39.301
39.71490970277778,-105.11522504999999,1693.7124,0.59722,163,2019,0.999335,-39.338
39.71490965833334,-105.11522483888886,1693.6905,0.59694,163,2019,0.999335,-39.597
39.71490971944446,-105.11522504444444,1693.7011,0.59667,163,2019,0.999335,-38.887
39.71490965833334,-105.1152250611111,1693.7021,0.59639,163,2019,0.999335,-39.192
39.714909680555564,-105.1152250611111,1693.7019,0.59611,163,2019,0.999335,-38.936
39.7149097,-105.115225125,1693.6978,0.59583,163,2019,0.999335,-38.926
39.71490963888889,-105.11522503333333,1693.7001,0.59556,163,2019,0.999335,-38.915
39.71490963055557,-105.1152250472222,1693.7022,0.59528,163,2019,0.999335,-38.638
39.714909586111126,-105.11522499444443,1693.7064,0.59500,163,2019,0.999335,-38.243
39.714909636111116,-105.115225075,1693.7095,0.59472,163,2019,0.999335,-38.275
39.7149096138889,-105.11522509166664,1693.7074,0.59444,163,2019,0.999335,-37.943
39.71490960277778,-105.11522507222222,1693.7149,0.59417,163,2019,0.999335,-38.161
39.7149096138889,-105.11522509999998,1693.7131,0.59389,163,2019,0.999335,-38.167
39.71490960277778,-105.11522510277776,1693.7114,0.59361,163,2019,0.999335,-37.420
39.71490963888889,-105.11522503333333,1693.7168,0.59333,163,2019,0.999335,-37.560
39.71490959444445,-105.11522509722221,1693.7183,0.59306,163,2019,0.999335,-38.647
39.71490956666667,-105.11522510277776,1693.7144,0.59278,163,2019,0.999335,-38.406
39.71490956111112,-105.11522510277776,1693.7198,0.59250,163,2019,0.999335,-38.331
39.714909547222234,-105.11522504444444,1693.7258,0.59222,163,2019,0.999335,-38.398
39.714909544444446,-105.11522508333331,1693.729,0.59194,163,2019,0.999335,-38.319
39.714909547222234,-105.11522506388889,1693.7265,0.59167,163,2019,0.999335,-38.150
39.714909569444444,-105.11522508888886,1693.7227,0.59139,163,2019,0.999335,-37.943
39.71490959444445,-105.11522511666666,1693.7291,0.59111,163,2019,0.999335,-37.649
39.71490961111111,-105.11522505833332,1693.7262,0.59083,163,2019,0.999335,-38.114
39.714909616666674,-105.11522505555556,1693.7306,0.59056,163,2019,0.999335,-38.143
39.7149096,-105.11522505833332,1693.729,0.59028,163,2019,0.999335,-37.999
39.714909597222224,-105.11522505833332,1693.7373,0.59000,163,2019,0.999335,-37.779
39.71490960277778,-105.11522510277776,1693.7245,0.58972,163,2019,0.999335,-37.646
39.714909583333345,-105.11522509722221,1693.7212,0.58944,163,2019,0.999335,-36.990
39.71490961111111,-105.11522509999998,1693.7279,0.58917,163,2019,0.999335,-36.580
39.71490967222223,-105.11522509999998,1693.74,0.58889,163,2019,0.999335,-37.190
39.71490967777779,-105.11522508333331,1693.7417,0.58861,163,2019,0.999335,-37.558
39.714909661111115,-105.1152250611111,1693.7349,0.58833,163,2019,0.999335,-37.542
39.714909655555566,-105.11522507222222,1693.7322,0.58806,163,2019,0.999335,-37.729
39.714909616666674,-105.115225075,1693.7358,0.58778,163,2019,0.999335,-37.200
39.714909597222224,-105.11522511388888,1693.7371,0.58750,163,2019,0.999335,-37.410
39.71490961111111,-105.11522508333331,1693.7344,0.58722,163,2019,0.999335,-36.880
39.714909625000004,-105.11522507777778,1693.7292,0.58694,163,2019,0.999335,-37.042
39.714909597222224,-105.11522505833332,1693.7301,0.58667,163,2019,0.999335,-36.862
